Label,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
29,female,highschool,NY,HTML/Ruby/,0,male,bachelor,WA,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
29,female,highschool,NY,HTML/Ruby/,1,female,bachelor,GA,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
29,female,highschool,NY,HTML/Ruby/,2,male,bachelor,TX,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
29,female,highschool,NY,HTML/Ruby/,3,female,bachelor,NJ,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
29,female,highschool,NY,HTML/Ruby/,4,male,bachelor,AZ,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
29,female,highschool,NY,HTML/Ruby/,5,male,master,AZ,Mobile Software Engineer,Java/C#/Objective-C/Swift
29,female,highschool,NY,HTML/Ruby/,6,male,master,NJ,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
29,female,highschool,NY,HTML/Ruby/,7,female,bachelor,GA,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
29,female,highschool,NY,HTML/Ruby/,8,male,master,TX,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
29,female,highschool,NY,HTML/Ruby/,9,male,master,GA,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
